Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster
Russia,Y,Y,N,Metals and Mining,1934,Chairman,-23,The Consistent
Russia,Y,Y,N,Energy,2000,NA,48,The Consistent
Japan,Y,Y,N,Fashion and Retail,1963,Founder,14,The Consistent
China,Y,N,N,Service,1993,Founder,24,The Consistent
Thailand,Y,N,N,Food and Beverage,1941,Founder,-4,The Consistent
France,Y,N,N,Fashion and Retail,1963,Founder,26,The Consistent
United Kingdom,N,N,N,Diversified,NA,Founder,NA,The Consistent
United Kingdom,Y,N,N,Real Estate,NA,NA,NA,The Consistent
United States,Y,Y,N,Real Estate,1864,Founder,-69,The Consistent
Russia,Y,N,N,Metals and Mining,1999,Shareholder,45,The Consistent
South Korea,N,Y,N,Diversified,1938,NA,-4,The Consistent
Hong Kong,N,N,N,Real Estate,NA,NA,NA,The Consistent
Hong Kong,Y,N,N,Real Estate,1978,Founder,27,The Consistent
Australia,N,N,N,Metals and Mining,1955,Relation,1,The Consistent
India,N,Y,N,Software,1945,NA,-1,The Consistent
Brazil,Y,Y,N,Food and Beverage,1885,Founder,-65,The Consistent
Russia,Y,Y,N,Energy,1990,Founder,40,The Consistent
United States,N,Y,Y,Finance,1946,Relation,-16,The Consistent
Russia,Y,Y,N,Energy,1989,Founder,24,The Consistent
Ireland,N,N,N,Construction and Engineering,1865,NA,-65,The Consistent
Russia,Y,Y,N,Metals and Mining,1991,Founder,31,The Consistent
China,Y,N,N,Metals and Mining,1994,Founder,26,The Consistent
Italy,N,Y,N,Health care,1901,Shareholder/CEO,-41,The Consistent
United States,Y,Y,N,Automotive,2003,Investor/Founder,31,The Consistent
United States,Y,N,N,Finance,1994,Founder,49,The Consistent
Mexico,N,N,N,Metals and Mining,1978,Founder,25,The Consistent
Chile,N,N,N,Metals and Mining,1888,Relation,-55,The Consistent
India,Y,Y,N,Health care,1983,NA,28,The Consistent
Austria,Y,N,Y,Food and Beverage,1984,NA,40,The Consistent
United States,Y,N,N,Energy,1967,Founder,22,The Consistent
China,Y,Y,N,Software,2000,Founder,32,The Consistent
Russia,Y,N,N,Energy,2001,Founder,29,The Consistent
United States,Y,Y,N,Media,1923,Relation,-8,The Consistent
Germany,Y,N,N,Construction and Engineering,1905,Chairman/Shareholder,-36,The Consistent
United States,Y,Y,N,Finance,1992,Founder,36,The Consistent
France,Y,N,N,Telecom,1994,Founder,31,The Consistent
Philippines,Y,Y,N,Diversified,1960,Founder,36,The Consistent
United States,N,Y,N,Media,1898,NA,-22,The Hustler
United States,N,N,N,Media,1898,Relation,-26,The Ghost
Netherlands,N,Y,N,Food and Beverage,1864,Relation,-91,The Consistent
Sweden,N,N,N,Media,1951,Relation,25,The Consistent
United States,N,Y,N,Investments,NA,Investor,NA,The Consistent
United States,Y,Y,Y,Finance,1980,Founder,38,The Consistent
Brazil,Y,Y,N,Food and Beverage,1999,Founder,52,The Consistent
Germany,N,N,N,Logistics,1890,NA,-48,The Consistent
Russia,Y,Y,N,Energy,1990,Founder,32,The Consistent
China,Y,N,N,Manufacturing,1968,NA,26,The Consistent
India,Y,Y,N,Software,1976,Founder,31,The Consistent
Japan,Y,N,N,Manufacturing,1974,Founder,29,The Consistent
United States,N,Y,N,Media,1898,Relation,-50,The Consistent
United States,N,Y,N,Media,1898,Relation,-53,The Consistent
Nigeria,Y,Y,N,Manufacturing,1981,Founder,24,The Consistent
Czech Republic,Y,Y,N,Finance,1991,Founder,26,The Consistent
United States,N,N,N,Media,1909,Relation,-19,The Consistent
Hong Kong,Y,N,N,Gaming,1988,Founder/Chairman,59,The Consistent
United States,N,N,N,Media,1909,Relation,-21,The Consistent
United States,Y,Y,Y,Investments,1985,NA,39,The Consistent
France,N,N,N,Fashion and Retail,1909,Relation,-40,The Consistent
France,N,N,N,Fashion and Retail,1909,NA,-42,The Consistent
Kuwait,N,N,N,Construction and Engineering,1956,Relation,12,The Ghost
Malaysia,Y,Y,N,Diversified,1971,NA,48,The Consistent
France,N,N,N,Food and Beverage,1933,NA,-38,The Consistent
Germany,Y,N,N,Software,1972,Founder,29,The Consistent
United States,Y,Y,N,Technology,1998,NA,43,The Consistent
Sweden,N,N,N,Manufacturing,1943,Relation,19,The Ghost
Colombia,Y,Y,N,Finance,1994,President,61,The Consistent
United Kingdom,N,N,N,Real Estate,1677,Relation,-275,The Consistent
United States,Y,Y,Y,Finance,1993,Founder,36,The Consistent
Mexico,N,N,N,Metals and Mining,1960,Relation,28,The Consistent
United States,Y,N,N,Software,2004,Founder,20,The Consistent
United Arab Emirates,N,N,N,Real Estate,1992,Founder,NA,The Consistent
Hong Kong,N,N,Y,Real Estate,1955,NA,8,The Consistent
United States,Y,N,N,Finance,1988,Founder,35,The Consistent
United States,Y,Y,N,Fashion and Retail,1960,Founder,20,The Consistent
China,Y,Y,N,Real Estate,1997,NA,39,The Consistent
Germany,Y,N,N,Manufacturing,1945,Relation,9,The Consistent
Cyprus,Y,N,N,Logistics,1985,NA,41,The Consistent
Thailand,N,N,N,Diversified,1921,NA,-19,The Consistent
Canada,N,Y,N,Retail,1882,Chairman,-59,The Consistent
New Zealand,Y,N,N,Investments,1987,NA,32,The Consistent
India,N,Y,Y,Diversified,1857,Relation,-111,The Consistent
United States,Y,Y,N,Software,1976,NA,34,The Consistent
Russia,Y,Y,N,Energy,1989,President,27,The Consistent
Russia,Y,Y,N,Diversified,1988,Founder,22,The Consistent
Germany,Y,N,N,Software,1972,Founder,32,The Hustler
Indonesia,N,N,N,Finance,1951,Relation,10,The Consistent
United Kingdom,Y,N,N,Manufacturing,1998,Founder,46,The Hustler
United States,Y,N,N,Software,2009,NA,34,The Consistent
China,N,Y,N,Real Estate,1997,NA,15,The Consistent
United States,N,Y,N,Fashion and Retail,1946,Relation,9,The Consistent
Indonesia,N,N,N,Manufacturing,1951,Relation,11,The Consistent
Israel,N,N,N,Diversified,1960,Relation,9,The Consistent
Russia,Y,Y,N,Investments,1993,NA,28,The Consistent
United States,Y,Y,N,Health care,1968,Founder/Relation,30,The Consistent
Singapore,N,N,N,Real Estate,1970,NA,NA,The Consistent
United States,Y,Y,N,Health care,1997,NA,45,The Consistent
Switzerland,N,Y,Y,Health care,1906,Relation,-60,The Consistent
Australia,Y,Y,N,Real Estate,1968,Founder,36,The Consistent
Russia,Y,Y,N,Finance,1993,NA,33,The Hustler
China,Y,Y,N,Software,1998,Founder,27,The Consistent
United States,Y,Y,Y,Finance,1971,Founder,34,The Consistent
Russia,Y,Y,N,Manufacturing,1925,General Director,-24,The Consistent
United States,Y,Y,N,Automotive,1956,Founder,5,The Consistent
India,N,Y,N,Health care,1966,NA,24,The Consistent
Saudi Arabia,Y,N,N,Energy,NA,NA,NA,The Consistent
United States,N,N,N,Service,1972,Chairman,22,The Consistent
France,Y,N,N,Software,1990,Founder,22,The Consistent
France,Y,N,N,Food and Beverage,1949,NA,23,The Hustler
United States,N,Y,N,Manufacturing,1873,Relation,-66,The Consistent
United States,N,N,N,Diversified,1940,Relation,-3,The Hustler
India,Y,Y,Y,Finance,1985,Founder,27,The Consistent
United States,Y,Y,N,Software,1995,NA,28,The Consistent
United States,Y,Y,N,Finance,1990,NA,22,The Consistent
United States,N,Y,Y,Energy,1940,NA,-3,The Consistent
United States,Y,Y,Y,Finance,1994,Founder,39,The Consistent
Brazil,Y,Y,N,Software,2004,NA,23,The Consistent
United States,N,Y,N,Finance,1946,Relation,15,The Consistent
United States,Y,Y,N,Investments,1957,Founder,23,The Consistent
United States,Y,Y,N,Media,1968,NA,28,The Consistent
Germany,N,N,N,Retail,1949,Chairman,6,The Consistent
Spain,Y,N,N,Real Estate,1982,Founder,17,The Hustler
China,Y,Y,N,Software,2004,Founder,30,The Consistent
Canada,N,N,N,Diversified,1882,NA,-46,The Consistent
Germany,Y,Y,N,Energy,1984,Founder,33,The Consistent
Switzerland,N,N,N,Logistics,1970,Founder,30,The Hustler
United States,Y,Y,Y,Sports,1999,Founder,51,The Consistent
Taiwan,Y,N,N,Technology,1974,Founder,24,The Consistent
India,Y,Y,N,Telecom,1980,Founder,23,The Consistent
Saudi Arabia,Y,N,N,Investments,1980,Founder,25,The Ghost
Saudi Arabia,Y,N,N,Finance,1957,NA,37,The Hustler
Germany,N,N,N,Investments,NA,Relation,NA,The Consistent
United States,Y,Y,N,Real Estate,1972,Founder,32,The Consistent
United States,Y,Y,N,Technology,1968,Founder,40,The Consistent
United States,Y,N,N,Media,1970,Founder,28,The Consistent
Hong Kong,N,N,N,Real Estate,1963,Relation,12,The Consistent
Russia,Y,N,N,Manufacturing,1930,NA,-37,The Consistent
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Energy,1996,NA,52,The Consistent
China,Y,N,N,Food and Beverage,1987,Founder,42,The Consistent
Austria,Y,N,N,Gaming,1980,Founder,33,The Consistent
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent
Hong Kong,Y,N,N,Real Estate,1962,Founder,41,The Ghost
Italy,Y,N,N,Diversified,1978,Founder,42,The Consistent
South Africa,N,Y,N,Metals and Mining,1888,NA,-58,The Consistent
Russia,Y,N,N,Metals and Mining,1999,Partner,33,The Consistent
United Arab Emirates,N,N,N,Diversified,1960,NA,NA,The Consistent
United States,N,N,N,Food and Beverage,1865,Relation,-69,The Consistent
Malaysia,N,N,N,Diversified,1968,Founder,26,The Consistent
Sweden,Y,N,Y,Investments,1987,Founder,40,The Consistent
Sweden,N,N,N,Medicine,1950,NA,-1,The Consistent
Russia,Y,Y,N,Fashion and Retail,1994,Founder,26,The Consistent
China,Y,Y,N,Technology,2010,Founder,41,The Consistent
United States,Y,Y,Y,Software,1987,Founder,47,The Consistent
Hong Kong,N,N,N,Diversified,1890,Relation,-52,The Consistent
China,Y,N,N,Metals and Mining,1994,Founder,48,The Consistent
South Korea,N,Y,Y,Fashion and Retail,1945,Relation,-18,The Hustler
China,Y,N,N,Automotive,1986,Founder,23,The Consistent
Spain,N,N,N,Fashion and Retail,1975,Relation,6,The Consistent
Italy,Y,N,N,Fashion and Retail,1975,Founder,41,The Consistent
China,Y,N,N,Agriculture,1982,Founder,34,The Consistent
Brazil,Y,N,N,Metals and Mining,1984,Founder,27,The Ghost
Singapore,Y,N,N,Manufacturing,1962,NA,35,The Consistent
United States,Y,Y,N,Automotive,1960,Founder,30,The Consistent
Malaysia,Y,Y,Y,Telecom,1984,Founder,47,The Consistent
United States,N,Y,N,Real Estate,1883,Relation,-63,The Consistent
Russia,Y,Y,N,Metals and Mining,1999,Founder,35,The Consistent
United States,Y,Y,N,Real Estate,1979,NA,40,The Consistent
India,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
France,N,N,N,Energy,1975,Relation,24,The Consistent
Russia,Y,N,N,Energy,1990,Vice President,34,The Consistent
Russia,Y,Y,N,Energy,NA,NA,NA,The Consistent
Russia,Y,Y,N,Investments,1989,NA,24,The Consistent
China,Y,Y,Y,Diversified,1992,Founder,26,The Ghost
Denmark,N,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,N,Y,N,Energy,1980,Relation,26,The Consistent
Taiwan,N,N,N,Food and Beverage,1962,Relation,5,The Consistent
Singapore,N,N,N,Real Estate,1962,Founder,34,The Ghost
South Africa,N,N,N,Fashion and Retail,1940,Relation,-11,The Consistent
Sweden,N,N,N,Food and Beverage,1951,Relation,-9,The Consistent
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,N,N,Logistics,1964,Founder,30,The Consistent
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
Sweden,N,N,N,Food and Beverage,1951,Relation,-2,The Consistent
Sweden,N,N,N,Food and Beverage,1951,NA,-4,The Consistent
Venezuela,N,Y,Y,Retail,1941,Relation,-25,The Consistent
South Korea,N,Y,Y,Technology,1938,NA,-31,The Consistent
China,Y,N,N,Manufacturing,1993,Founder,24,The Consistent
Germany,N,Y,N,Retail,NA,NA,NA,The Consistent
Hong Kong,Y,N,N,Real Estate,1972,NA,25,The Consistent
China,Y,Y,N,Automotive,1984,Chairman,20,The Consistent
Italy,N,N,N,Food and Beverage,1946,NA,NA,The Consistent
United Kingdom,Y,N,N,Real Estate,1987,NA,NA,The Consistent
Philippines,N,N,N,Diversified,NA,NA,NA,The Consistent
United States,N,Y,N,Finance,1947,NA,14,The Consistent
Nigeria,Y,N,Y,Diversified,NA,NA,NA,The Consistent
United States,Y,Y,N,Finance,1985,NA,24,The Hustler
India,Y,N,N,Diversified,1988,Founder,25,The Consistent
Canada,Y,Y,N,Retail,1999,NA,36,The Consistent
Mexico,N,Y,N,Food and Beverage,1925,Relation,-39,The Hustler
Hong Kong,Y,Y,N,Investments,2001,NA,37,The Consistent
Japan,Y,N,Y,Technology,NA,NA,NA,The Consistent
China,Y,N,N,Diversified,1969,NA,25,The Consistent
United States,N,Y,N,Energy,1968,Relation,6,The Consistent
Australia,Y,Y,N,Metals and Mining,2003,NA,42,The Consistent
United States,N,N,N,Energy,1968,NA,4,The Consistent
Germany,N,N,N,Health care,1881,NA,-84,The Consistent
United States,N,N,N,Energy,1968,Relation,-2,The Consistent
China,Y,N,Y,Real Estate,2005,Founder,33,The Consistent
United States,N,N,N,Energy,1968,Relation,-15,The Consistent
Mexico,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent
United States,Y,Y,N,Service,1959,Founder,34,The Consistent
Israel,Y,N,N,Manufacturing,1952,Founder,26,The Consistent
Canada,Y,N,N,Diversified,1961,NA,33,The Consistent
United States,N,Y,N,Food and Beverage,1865,Relation,-65,The Consistent
Australia,Y,N,N,Real Estate,1960,Founder,30,The Consistent
Canada,N,N,N,Food and Beverage,1954,NA,17,The Consistent
United Kingdom,Y,N,N,Investments,1975,NA,39,The Consistent
China,Y,N,N,Real Estate,1988,Founder,48,The Consistent
South Africa,Y,Y,N,Retail,NA,NA,NA,The Consistent
Spain,N,N,N,Construction and Engineering,1952,Relation,-2,The Ghost
Egypt,N,Y,N,Construction and Engineering,1950,NA,-11,The Consistent
United States,Y,Y,N,Software,2009,Founder,38,The Consistent
India,N,N,N,Diversified,NA,NA,NA,The Consistent
Switzerland,Y,N,Y,Health care,1974,NA,40,The Consistent
Taiwan,Y,N,N,Real Estate,1965,NA,30,The Consistent
United States,Y,N,N,Fashion and Retail,1967,Founder,28,The Consistent
Sweden,N,N,N,Diversified,1873,NA,-71,The Consistent
United States,Y,Y,N,Finance,1983,Founder,39,The Consistent
United States,Y,Y,Y,Finance,1990,Founder,39,The Consistent
Germany,N,N,N,Retail,NA,NA,NA,The Ghost
United States,N,Y,N,Media,1936,Relation,12,The Consistent
India,N,N,N,Automotive,1948,NA,6,The Consistent
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Finance,1988,Founder,38,The Consistent
Hong Kong,Y,N,Y,Real Estate,1988,NA,38,The Consistent
Indonesia,N,Y,N,Manufacturing,1973,NA,20,The Consistent
Russia,Y,Y,N,Finance,1998,NA,36,The Hustler
United States,Y,N,N,Real Estate,1952,Founder,27,The Consistent
United States,Y,Y,N,Retail,NA,NA,NA,The Ghost
Germany,Y,N,N,Health care,1972,Founder,33,The Consistent
United States,Y,Y,N,Technology,1987,Founder,46,The Consistent
United States,Y,Y,N,Media,1971,Founder,27,The Consistent
Hong Kong,N,N,N,Real Estate,1961,Founder,13,The Consistent
United States,Y,Y,N,Energy,1994,Founder,43,The Consistent
United States,Y,Y,N,Technology,1987,NA,36,The Consistent
Norway,N,N,N,Retail,NA,NA,NA,The Consistent
Switzerland,N,N,N,Food and Beverage,1851,Relation,-112,The Consistent
India,N,Y,N,Manufacturing,1918,Relation,-14,The Consistent
United States,Y,N,N,Retail,NA,NA,NA,The Consistent
Germany,Y,N,N,Health care,1983,Founder,43,The Consistent
Germany,N,N,N,Manufacturing,1946,NA,4,The Consistent
United States,Y,Y,N,Sports,1970,NA,28,The Consistent
Israel,Y,N,N,Media,1991,Founder,47,The Consistent
United States,Y,Y,N,Finance,1989,NA,41,The Consistent
India,N,N,N,Metals and Mining,1969,Relation,19,The Consistent
United States,Y,Y,Y,Finance,1972,Employee,20,The Consistent
France,N,N,N,Investments,1822,NA,-130,The Consistent
India,N,Y,N,Health care,1952,NA,-1,The Consistent
India,Y,Y,N,Construction and Engineering,NA,NA,NA,The Ghost
Canada,N,N,N,Finance,1925,Relation,-4,The Hustler
United Kingdom,N,N,Y,Finance,1800,Relation,-133,The Consistent
United States,N,Y,N,Finance,NA,NA,NA,The Consistent
United States,Y,Y,Y,Sports,1972,Founder,31,The Consistent
Singapore,N,N,N,Real Estate,NA,NA,NA,The Consistent
Spain,N,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Manufacturing,1979,Founder,29,The Consistent
Switzerland,Y,Y,Y,Metals and Mining,1974,NA,18,The Consistent
Russia,Y,Y,N,Metals and Mining,1997,Founder,29,The Consistent
France,N,N,N,Food and Beverage,NA,NA,NA,The Consistent
United Kingdom,Y,N,N,Media,NA,Founder,NA,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent
France,Y,N,N,Media,1964,Founder,27,The Consistent
United States,Y,Y,N,Real Estate,1999,Founder,57,The Consistent
United States,Y,Y,Y,Finance,1976,Founder,33,The Consistent
United States,Y,Y,N,Finance,1969,Founder,26,The Consistent
Sweden,N,N,N,Diversified,1939,NA,-8,The Consistent
United Kingdom,Y,N,N,Diversified,1972,Founder,22,The Consistent
United States,N,Y,N,Service,NA,NA,NA,The Consistent
Belgium,Y,N,N,Investments,1956,Founder,31,The Consistent
South Korea,N,Y,N,Automotive,1967,Relation,29,The Consistent
Brazil,N,Y,N,Media,NA,NA,NA,The Ghost
Hong Kong,Y,Y,N,Finance,1992,NA,35,The Consistent
Israel,N,N,N,Service,NA,NA,NA,The Consistent
United Arab Emirates,N,N,N,Diversified,NA,NA,NA,The Ghost
United States,N,Y,N,Energy,NA,NA,NA,The Consistent
United Kingdom,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
China,Y,N,N,Diversified,1989,Chairman,36,The Consistent
United States,N,Y,Y,Investments,1928,Relation,-36,The Consistent
United States,N,Y,N,Investments,1928,Relation,-39,The Consistent
United States,N,Y,N,Investments,1927,Relation,-45,The Consistent
Chile,Y,N,N,Retail,NA,NA,NA,The Consistent
India,Y,N,N,Health care,1968,Founder,31,The Consistent
Malaysia,Y,N,N,Manufacturing,NA,NA,NA,The Consistent
Switzerland,N,Y,N,Construction and Engineering,1912,Relation,-34,The Consistent
United States,Y,Y,N,Finance,1981,NA,28,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent
Ireland,Y,N,Y,Telecom,1997,Founder,39,The Consistent
Russia,Y,N,N,Investments,NA,NA,NA,The Ghost
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent
United States,Y,N,N,Media,1972,Founder,46,The Consistent
United Kingdom,Y,N,N,Fashion and Retail,1960,NA,22,The Consistent
China,Y,N,N,Agriculture,1982,NA,31,The Consistent
Russia,Y,N,N,Energy,NA,NA,NA,The Consistent
Indonesia,Y,N,N,Diversified,1987,NA,25,The Consistent
Ukraine,Y,Y,N,Metals and Mining,2000,Founder,33,The Consistent
Switzerland,N,N,N,Manufacturing,1936,NA,-40,The Consistent
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent
Canada,N,N,N,Energy,1924,NA,-6,The Consistent
United States,N,N,N,Real Estate,1977,Founder,56,The Ghost
United States,N,N,N,Investments,1919,Relation,-7,The Ghost
United States,Y,Y,N,Software,1962,Founder,31,The Ghost
United States,Y,N,N,Manufacturing,1959,NA,22,The Consistent
United Kingdom,Y,N,N,Media,1975,NA,29,The Consistent
United States,Y,Y,N,Software,1976,Founder,29,The Consistent
India,N,N,N,Retail,NA,NA,NA,The Consistent
Ireland,N,N,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,N,Energy,1994,NA,39,The Consistent
Germany,Y,N,N,Technology,1982,NA,27,The Consistent
Georgia,Y,N,N,Investments,1990,NA,35,The Consistent
India,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Manufacturing,1979,Founder,23,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Consistent
Russia,Y,Y,N,Manufacturing,1929,NA,-31,The Consistent
China,Y,N,N,Real Estate,1995,NA,32,The Consistent
United Kingdom,Y,Y,N,Finance,2000,Founder,33,The Consistent
Switzerland,N,N,N,Manufacturing,1936,Relation And Ceo,-33,The Consistent
Russia,Y,Y,N,Finance,1996,Founder/Chairman,25,The Consistent
Italy,N,N,Y,Metals and Mining,1945,Relation,NA,The Consistent
Japan,Y,Y,N,Retail,NA,NA,NA,The Consistent
United States,Y,N,N,Real Estate,1974,Founder,46,The Consistent
Netherlands,Y,N,N,Service,1960,NA,27,The Consistent
Portugal,N,N,N,Diversified,NA,NA,NA,The Consistent
Japan,N,N,N,Real Estate,1959,Relation,22,The Consistent
Germany,N,N,N,Food and Beverage,1949,NA,5,The Consistent
India,Y,N,N,Media,1976,NA,26,The Consistent
Germany,N,N,N,Food and Beverage,1949,Relation,-2,The Consistent
United States,Y,Y,N,Health care,1981,NA,27,The Consistent
United States,N,Y,N,Health care,1941,Relation,-14,The Consistent
China,Y,N,N,Real Estate,1992,Chairman,37,The Consistent
United States,N,Y,N,Service,NA,NA,NA,The Consistent
Australia,N,Y,N,Manufacturing,1948,Relation,-12,The Consistent
Germany,N,N,N,Food and Beverage,1903,NA,-64,The Consistent
Hong Kong,N,N,N,Telecom,1971,NA,4,The Consistent
China,Y,N,N,Real Estate,1998,Chairman,30,The Consistent
Japan,N,N,N,Finance,NA,NA,NA,The Ghost
United States,N,Y,N,Service,NA,NA,NA,The Consistent
United States,Y,Y,N,Logistics,NA,NA,NA,The Consistent
Turkey,Y,Y,N,Technology,NA,NA,NA,The Hustler
United States,N,Y,N,Fashion and Retail,NA,NA,NA,The Consistent
Germany,N,N,N,Manufacturing,1917,NA,-37,The Consistent
United Kingdom,N,N,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,N,Energy,1989,Founder,31,The Consistent
China,Y,Y,N,Health care,1970,Chairman,11,The Consistent
Russia,Y,Y,N,Metals and Mining,1935,NA,-26,The Consistent
United States,N,N,N,Food and Beverage,1865,NA,-97,The Consistent
United States,Y,Y,Y,Technology,1995,President,30,The Consistent
South Korea,Y,Y,N,Software,1994,NA,27,The Consistent
Mexico,Y,N,N,Retail,NA,NA,NA,The Consistent
Japan,N,N,N,Manufacturing,1961,Founder,31,The Consistent
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost
United States,N,Y,N,Media,NA,NA,NA,The Consistent
United States,N,Y,Y,Real Estate,1920,Relation,-18,The Consistent
France,N,N,N,Fashion and Retail,1976,Founder,37,The Consistent
Germany,N,N,N,Food and Beverage,1896,Relation,-44,The Consistent
Switzerland,Y,N,Y,Manufacturing,1911,Relation,-35,The Consistent
United Kingdom,Y,N,N,Manufacturing,1993,NA,46,The Consistent
Canada,Y,Y,N,Technology,1998,NA,48,The Consistent
Taiwan,N,N,N,Diversified,NA,NA,NA,The Consistent
Thailand,Y,N,N,Retail,NA,NA,NA,The Consistent
Hong Kong,N,Y,N,Gaming,1962,Relation,-1,The Consistent
China,Y,Y,N,Automotive,1995,Founder,29,The Consistent
United Arab Emirates,N,N,N,Automotive,NA,NA,NA,The Consistent
United States,N,N,N,Manufacturing,1932,Relation,9,The Ghost
India,N,Y,N,Real Estate,1946,Relation And Chairman,14,The Consistent
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,Y,Investments,1975,NA,41,The Consistent
United States,Y,Y,N,Energy,1983,NA,33,The Consistent
Sweden,N,Y,N,Real Estate,NA,NA,NA,The Consistent
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Consistent
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Consistent
Hong Kong,N,N,N,Gaming,NA,NA,NA,The Consistent
