Name,Worth,Age,Country,Self_Made,dropped_out,bachelors_degree,masters_degree,MBA,phd_or_professional_degree,other_degrees,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector,Gender,detail1,detail2,number_of_degress,presence_on_list,Continent/Region
Jacqueline Mars,27,77,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Food and Beverage,female,candy,"Bachelor of Arts / Science, Bryn Mawr College",1,100%,North America
John Mars,27,81,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Food and Beverage,male,candy,"Bachelor of Arts / Science, Yale University; Diploma, The Hotchkiss School",2,100%,North America
Phil Knight,26.2,79,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Fashion and Retail,male,"Nike, Self Made","Bachelor of Arts / Science, University of Oregon; Master of Business Administration, Stanford Graduate School of Business",2,100%,North America
George Soros,25.2,86,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, London School of Economics",1,100%,North America
Michael Dell,20.4,52,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Technology,male,"Dell computers, Self Made","Drop Out, The University of Texas at Austin",0,100%,North America
Len Blavatnik,20,59,United States,Y,N,Y,Y,Y,N,NA,2007,11,0,0,0,Energy,male,"diversified, Self Made","Bachelor of Arts / Science, Moscow State University; Master of Science, Columbia University; Master of Business Administration, Harvard Business School",3,100%,North America
Laurene Powell Jobs,20,53,United States,N,N,Y,N,Y,N,NA,2012,6,0,0,0,Technology,female,"Apple, Disney","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts / Science, University of Pennsylvania Wharton School",2,100%,North America
Paul Allen,19.9,64,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Technology,male,"Microsoft, investments, Self Made","Drop Out, Washington State University",0,100%,North America
Charles Ergen,18.3,64,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Technology,male,"satellite TV, Self Made","Bachelor of Arts / Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business",2,100%,North America
James Simons,18,78,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Massachusetts Institute of Technology; Doctorate, University of California Berkeley",2,100%,North America
Ray Dalio,16.8,67,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Long Island University; Master of Business Administration, Harvard Business School",2,100%,North America
Carl Icahn,16.6,81,United States,Y,Y,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Princeton University; Drop Out, New York University",1,100%,North America
Donald Bren,15.2,84,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Washington",1,100%,North America
Abigail Johnson,14.4,55,United States,N,N,Y,N,Y,N,NA,2007,11,0,0,0,Business,female,money management,"Bachelor of Arts / Science, Hobart and William Smith; Master of Business Administration, Harvard Business School",2,100%,North America
Elon Musk,13.9,45,United States,Y,N,Y,N,N,N,NA,2012,6,0,0,0,Automotive,male,"Tesla Motors, Self Made","Bachelor of Arts / Science, University of Pennsylvania",1,100%,North America
Thomas Peterffy,13.8,72,United States,Y,,,,,,,2010,8,0,0,0,Investments,male,"discount brokerage, Self Made",NA,NA,100%,North America
Harold Hamm,13.3,71,United States,Y,N,N,N,N,N,N,2008,10,0,0,0,Energy,male,"oil &amp; gas, Self Made","Diploma, High School",1,100%,North America
Rupert Murdoch,13.1,86,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Media,male,"newspapers, TV network, Self Made","Bachelor of Arts / Science, Oxford University; Master of Arts, Oxford University",2,100%,North America
Steve Cohen,13,60,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of Pennsylvania Wharton School",1,100%,North America
Philip Anschutz,12.5,77,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, University of Kansas",1,100%,North America
Ronald Perelman,12.5,74,United States,Y,N,Y,N,Y,N,NA,2007,10,1,1,1,Investments,male,"leveraged buyouts, Self Made","Bachelor of Arts / Science, University of Pennsylvania; Master of Business Administration, Wharton School",2,91%,North America
Jim Kennedy,12.2,69,United States,N,N,Y,N,N,N,NA,2010,8,0,0,0,Media,male,media,"Bachelor of Arts / Science, University of Denver",1,100%,North America
Blair Parry-Okeden,12.2,66,United States,N,N,Y,N,N,N,NA,2008,10,0,0,0,Media,female,media,"Diploma, High School; Bachelor of Arts / Science, University of Denver",2,100%,North America
Donald Newhouse,12.1,87,United States,N,Y,N,N,N,N,NA,2007,11,0,0,0,Media,male,media,"Drop Out, Syracuse University",0,100%,North America
"Samuel Newhouse, Jr.",12.1,89,United States,N,N,N,N,N,N,N,2007,11,0,0,0,Media,male,media,"Diploma, High School",1,100%,North America
Stephen Schwarzman,11.8,70,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Yale University; Master of Business Administration, Harvard Business School",2,100%,North America
Lukas Walton,11.3,30,United States,N,N,Y,N,N,N,NA,2016,2,0,0,0,Fashion and Retail,male,Wal-Mart,"Bachelor of Arts / Science, Colorado College",1,100%,North America
Eric Schmidt,11.1,61,United States,Y,N,Y,Y,N,Y,NA,2007,11,0,0,0,Technology,male,"Google, Self Made","Bachelor of Arts / Science, Princeton University; Doctorate, University of California Berkeley; Master of Science, University of California Berkeley",3,100%,North America
David Tepper,11,59,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of Pittsburgh; Master of Business Administration, David A. Tepper School of Business",2,100%,North America
Dustin Moskovitz,10.7,32,United States,Y,Y,N,N,N,N,NA,2011,7,0,0,0,Technology,male,"Facebook, Self Made","Drop Out, Harvard University",0,100%,North America
Andrew Beal,10.4,64,United States,Y,Y,N,N,N,N,NA,2008,9,1,1,1,Investments,male,"banks, real estate, Self Made","Drop Out, Baylor University",0,90%,North America
"John Menard, Jr.",10.2,77,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Fashion and Retail,male,"home improvement stores, Self Made","Bachelor of Arts / Science, University of Wisconsin, Eau Claire",1,100%,North America
James Goodnight,9.4,74,United States,Y,N,Y,Y,N,Y,NA,2007,11,0,0,0,Technology,male,"software, Self Made","Bachelor of Arts / Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University",3,100%,North America
Jan Koum,9,41,United States,Y,Y,N,N,N,N,NA,2014,4,0,0,0,Technology,male,"WhatsApp, Self Made","Drop Out, San Jose State University",0,100%,North America
Leonard Lauder,8.9,80,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Service,male,Estee Lauder,"Bachelor of Arts / Science, University of Pennsylvania",1,100%,North America
"Thomas Frist, Jr.",8.8,78,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Health care,male,"health care, Self Made","Bachelor of Arts / Science, Vanderbilt University; Medical Doctor, Washington University",2,100%,North America
Patrick Soon-Shiong,8.6,64,United States,Y,N,Y,Y,N,Y,NA,2007,11,0,0,0,Health care,male,"pharmaceuticals, Self Made","Bachelor of Arts / Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand; Master of Science, University of British Columbia",3,100%,North America
Charles Schwab,8.3,79,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Investments,male,"discount brokerage, Self Made","Bachelor of Arts / Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business",2,100%,North America
Shahid Khan,8.2,66,United States,Y,N,Y,N,N,N,NA,2012,6,0,0,0,Automotive,male,"auto parts, Self Made","Bachelor of Arts / Science, University of Illinois, Urbana-Champaign",1,100%,North America
Micky Arison,8.1,67,United States,N,Y,N,N,N,N,NA,2007,11,0,0,0,Service,male,Carnival Cruises,"Drop Out, University of Miami",0,100%,North America
James Chambers,8.1,60,United States,N,N,Y,N,N,N,NA,2016,2,0,0,0,Media,male,media,"Bachelor of Arts / Science, Bard College",1,100%,North America
Katharine Rayner,8.1,72,United States,N,,,,,,,2016,2,0,0,0,Media,female,media,NA,NA,100%,North America
Margaretta Taylor,8.1,74,United States,N,,,,,,,2016,2,0,0,0,Media,female,media,NA,NA,100%,North America
Ken Griffin,8,48,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Harvard University",1,100%,North America
"Herbert Kohler, Jr.",8,78,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Manufacturing,male,plumbing fixtures,"Bachelor of Arts / Science, Yale University",1,100%,North America
Pierre Omidyar,8,49,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Technology,male,"eBay, Self Made","Bachelor of Arts / Science, Tufts University",1,100%,North America
George Kaiser,7.9,74,United States,N,N,Y,N,Y,N,NA,2007,11,0,0,0,Energy,male,"oil &amp; gas, banking","Bachelor of Arts / Science, Harvard University; Master of Business Administration, Harvard University",2,100%,North America
John Paulson,7.9,61,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, New York University; Master of Business Administration, Harvard Business School",2,100%,North America
"Edward Johnson, III.",7.8,86,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,money management,"Bachelor of Arts / Science, Harvard University",1,100%,North America
Eli Broad,7.7,83,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Michigan State University; Broad College of Business",2,100%,North America
John Malone,7.7,76,United States,Y,N,Y,Y,N,Y,NA,2007,11,0,0,0,Media,male,"cable television, Self Made","Bachelor of Arts / Science, Yale University; Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University",3,100%,North America
Stanley Kroenke,7.5,69,United States,Y,N,Y,N,Y,N,NA,2007,10,1,1,1,Sports,male,"sports, real estate, Self Made","Bachelor of Arts / Science, University of Missouri; Master of Business Administration, Robert J. Trulaske, Sr. College of Business",2,91%,North America
Carl Cook,7.4,54,United States,N,N,Y,N,Y,N,NA,2015,3,0,0,0,Medicine,male,medical devices,"Bachelor of Arts / Science, Purdue University; Master of Business Administration, Tippie School of Management",2,100%,North America
Stephen Ross,7.4,76,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, University of Michigan; Doctor of Jurisprudence, Wayne State University; Master of Laws, New York University",3,100%,North America
David Geffen,7.3,74,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Media,male,"movies, record labels, Self Made","Drop Out, The University of Texas at Austin",0,100%,North America
Gordon Moore,7.3,88,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Technology,male,"Intel, Self Made","Bachelor of Arts / Science, University of California Berkeley; Doctorate, California Institute of Technology",2,100%,North America
Richard Kinder,7.2,72,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Energy,male,"pipelines, Self Made","Bachelor of Arts / Science, University of Missouri; Doctor of Jurisprudence, University of Missouri",2,100%,North America
Hank & Doug Meijer,7.2,-,United States,N,,,,,,,2012,6,0,0,0,Fashion and Retail,male,supermarkets,NA,NA,100%,North America
Pauline MacMillan Keinath,6.8,83,United States,N,,,,,,,2007,11,0,0,0,Food and Beverage,female,Cargill,NA,NA,100%,North America
David Duffield,6.7,76,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Technology,male,"business software, Self Made","Bachelor of Arts / Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",2,100%,North America
Bruce Halle,6.5,86,United States,Y,N,Y,N,N,N,NA,2010,8,0,0,0,Automotive,male,"tires, Self Made","Bachelor of Arts / Science, Eastern Michigan University",1,100%,North America
Richard LeFrak,6.5,71,United States,N,N,Y,N,N,Y,NA,2008,10,0,0,0,Real Estate,male,real estate,"Bachelor of Arts / Science, Amherst College; Doctor of Jurisprudence, Columbia University",2,100%,North America
John A. Sobrato,6.4,77,United States,Y,N,Y,N,N,N,NA,2012,6,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, Santa Clara University",1,100%,North America
Les Wexner,6.4,79,United States,Y,N,Y,N,N,N,NA,2016,2,0,0,0,Retail,male,"retail, Self Made","Bachelor of Arts / Science, Ohio State University",1,100%,North America
Travis Kalanick,6.3,40,United States,Y,Y,N,N,N,N,NA,2015,3,0,0,0,Software,male,"Uber, Self Made","Drop Out, University of California, Los Angeles",0,100%,North America
David Green,6.2,75,United States,Y,N,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,"retail, Self Made","Diploma, High School",1,100%,North America
Robert Rowling,6.2,63,United States,N,N,Y,N,N,Y,NA,2007,11,0,0,0,Energy,male,investments,"Bachelor of Arts / Science, The University of Texas at Austin; Doctor of Jurisprudence, Southern Methodist University",2,100%,North America
Marian Ilitch,6,84,United States,Y,N,N,N,N,N,N,2017,1,0,0,0,Food and Beverage,female,"Little Caesars, Self Made","High School Graduate, High School",1,100%,North America
Ann Walton Kroenke,6,68,United States,N,N,N,N,N,Y,N,2007,11,0,0,0,Fashion and Retail,female,Wal-Mart,"Registered Nurse, Lincoln University",1,100%,North America
Dennis Washington,6,82,United States,Y,N,N,N,N,N,N,2007,11,0,0,0,Logistics,male,"construction, mining, Self Made","Diploma, High School",1,100%,North America
Daniel Gilbert,5.8,55,United States,Y,N,Y,N,N,Y,NA,2007,8,1,1,3,Finance,male,"Quicken Loans, Self Made","Bachelor of Arts / Science, Michigan State University; LLB, Wayne State University",2,73%,North America
Charles Johnson,5.8,84,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,money management,"Bachelor of Arts / Science, Yale University",1,100%,North America
Dannine Avara,5.7,53,United States,N,,,,,,,2011,7,0,0,0,Energy,female,pipelines,NA,NA,100%,North America
Scott Duncan,5.7,34,United States,N,,,,,,,2011,7,0,0,0,Energy,male,pipelines,NA,NA,100%,North America
Milane Frantz,5.7,47,United States,N,,,,,,,2011,7,0,0,0,Energy,female,pipelines,NA,NA,100%,North America
Randa Williams,5.7,55,United States,N,N,Y,N,N,Y,NA,2011,7,0,0,0,Energy,female,pipelines,"Bachelor of Arts / Science, Rice University; Doctor of Jurisprudence, University of Houston",2,100%,North America
Brian Acton,5.6,45,United States,Y,N,Y,N,N,N,NA,2014,4,0,0,0,Technology,male,"WhatsApp, Self Made","Bachelor of Arts / Science, Stanford University",1,100%,North America
Richard DeVos,5.6,91,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Service,male,"Amway, Self Made","Bachelor of Arts / Science, Calvin College",1,100%,North America
Whitney MacMillan,5.6,87,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Food and Beverage,male,Cargill,"Bachelor of Arts / Science, Yale University",1,100%,North America
Leon Black,5.5,65,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Dartmouth College; Master of Business Administration, Harvard University",2,100%,North America
Bruce Kovner,5.5,72,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Harvard University",1,100%,North America
Ralph Lauren,5.5,77,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Fashion and Retail,male,"Ralph Lauren, Self Made","Diploma, High School; Drop Out, Baruch College - The City University of New York (CUNY)",1,100%,North America
Sumner Redstone,5.4,93,United States,N,N,Y,N,N,Y,NA,2007,11,0,0,0,Media,male,media,"Bachelor of Arts / Science, Harvard University; Doctor of Jurisprudence, Harvard University",2,100%,North America
David Shaw,5.4,66,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of California, San Diego; Doctorate, Stanford University",2,100%,North America
Christy Walton,5.4,68,United States,N,,,,,,,2007,11,0,0,0,Fashion and Retail,female,Wal-Mart,NA,NA,100%,North America
Ted Lerner,5.3,91,United States,Y,N,N,N,N,Y,NA,2011,7,0,0,0,Real Estate,male,"real estate, Self Made","LLB, George Washington University; Associate in Arts / Science, George Washington University",2,100%,North America
George Lucas,5.3,72,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Media,male,"Star Wars, Self Made","Bachelor of Arts / Science, University of Southern California",1,100%,North America
Trevor Rees-Jones,5.3,65,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Energy,male,"oil & gas, Self Made","Bachelor of Arts / Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",2,100%,North America
David Sun,5.3,65,United States,Y,N,Y,N,N,N,NA,2008,10,0,0,0,Technology,male,"computer hardware, Self Made","Bachelor of Arts / Science, Tatung University",1,100%,North America
John Tu,5.3,75,United States,Y,N,Y,N,N,N,NA,2008,10,0,0,0,Technology,male,"computer hardware, Self Made","Bachelor of Arts / Science, Technische Universit<e4>t Darmstadt",1,100%,North America
John Doerr,5.2,65,United States,Y,N,Y,Y,Y,N,NA,2007,10,1,1,1,Technology,male,"venture capital, Self Made","Bachelor of Arts / Science, Rice University; Master of Business Administration, Harvard University; Master of Science, Rice University",3,91%,North America
Israel Englander,5.2,68,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, New York University",1,100%,North America
Jerry Jones,5.2,74,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Sports,male,"Dallas Cowboys, Self Made","Bachelor of Arts / Science, University of Arkansas; Master of Arts, University of Arkansas",2,100%,North America
Tom & Judy Love,5.2,80,United States,Y,,,,,,,2013,5,0,0,0,Retail,family,"retail & gas stations, Self Made",NA,NA,100%,North America
Jim Davis,5.1,73,United States,Y,N,Y,N,N,N,NA,2015,3,0,0,0,Manufacturing,male,"New Balance, Self Made","Bachelor of Arts / Science, Middlebury College",1,100%,North America
"Rupert Johnson, Jr.",5.1,76,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,money management,"Bachelor of Arts / Science, Washington &amp; Lee University",2,100%,North America
Robert Kraft,5.1,75,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Sports,male,"New England Patriots, Self Made","Bachelor of Arts / Science, Columbia University; Master of Business Administration, Harvard Business School",2,100%,North America
Steven Rales,5.1,66,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Manufacturing,male,"manufacturing, Self Made","Bachelor of Arts / Science, DePauw University; Law Degree, American University",2,100%,North America
Tamara Gustavson,5,55,United States,N,N,Y,N,N,N,NA,2011,7,0,0,0,Service,female,self storage,"Bachelor of Arts / Science, University of Southern California",1,100%,North America
Henry Kravis,5,73,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Claremont McKenna College; Master of Business Administration, Columbia Business School",2,100%,North America
George Roberts,5,73,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings",2,100%,North America
"Edward Roski, Jr.",5,78,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Real Estate,male,real estate,"Bachelor of Arts / Science, University of Southern California",1,100%,North America
Sam Zell,5,75,United States,Y,N,Y,N,N,Y,NA,2007,11,0,0,0,Real Estate,male,"real estate, private equity, Self Made","Bachelor of Arts / Science, University of Michigan; Doctor of Jurisprudence, University of Michigan",2,100%,North America
Ray Lee Hunt,4.8,74,United States,N,N,Y,N,N,N,NA,2009,9,0,0,0,Energy,male,"oil, real estate","Bachelor of Arts / Science, Southern Methodist University",1,100%,North America
John Overdeck,4.8,47,United States,Y,N,Y,Y,N,N,NA,2016,2,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Stanford University; Master of Science, Stanford University",2,100%,North America
David Siegel,4.8,55,United States,Y,Y,N,N,N,N,NA,2016,2,0,0,0,Real Estate,male,"timeshares, Self Made","Drop Out, University of Miami",0,100%,North America
Daniel Ziff,4.8,45,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, Columbia University",1,100%,North America
Dirk Ziff,4.8,53,United States,N,N,Y,N,Y,N,NA,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, Columbia University; Master of Business Administration, Harvard University",2,100%,North America
Robert Ziff,4.8,50,United States,N,N,Y,N,N,Y,NA,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, Harvard University; Doctor of Jurisprudence, Cornell University",2,100%,North America
Stanley Druckenmiller,4.7,63,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Bowdoin College",1,100%,North America
"Paul Tudor Jones, II.",4.7,62,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, University of Virginia",1,100%,North America
Alejandro Santo Domingo,4.7,40,United States,N,N,Y,N,N,N,NA,2012,6,0,0,0,Food and Beverage,male,beer,"Bachelor of Arts / Science, Harvard University",1,100%,North America
Andres Santo Domingo,4.7,38,United States,N,N,Y,N,N,N,NA,2015,3,0,0,0,Food and Beverage,male,beer,"Bachelor of Arts / Science, Brown University",1,100%,North America
Charles Dolan,4.6,90,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Media,male,"cable television, Self Made","Drop Out, John Carroll University",0,100%,North America
Mitchell Rales,4.5,60,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Manufacturing,male,"manufacturing, investments, Self Made","Bachelor of Arts / Science, Miami University of Ohio",1,100%,North America
Leandro Rizzuto,4.5,79,United States,Y,Y,N,N,N,N,NA,2008,10,0,0,0,Manufacturing,male,"consumer products, Self Made","Drop Out, St John's University - NY",0,100%,North America
John Sall,4.5,69,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Technology,male,"software, Self Made","Bachelor of Arts / Science, Beloit College; Master of Arts, Northern Illinois University",2,100%,North America
Kelcy Warren,4.5,61,United States,Y,N,Y,N,N,N,NA,2010,8,0,0,0,Energy,male,"pipelines, Self Made","Bachelor of Arts / Science, University of Texas Arlington",1,100%,North America
Karen Pritzker,4.4,59,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Service,female,"hotels, investments","Bachelor of Arts / Science, Northwestern University",1,100%,North America
Reinhold Schmieding,4.4,62,United States,Y,N,Y,N,N,N,NA,2014,4,0,0,0,Health care,male,"medical devices, Self Made","Bachelor of Arts / Science, Michigan State University",1,100%,North America
Sheldon Solow,4.4,88,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Drop Out, New York University",0,100%,North America
Ronda Stryker,4.4,62,United States,N,N,Y,Y,N,N,NA,2007,11,0,0,0,Health care,female,medical equipment,"Bachelor of Arts / Science, University of Northern Colorado; Master of Arts, Western Michigan University",2,100%,North America
Jeffery Hildebrand,4.3,58,United States,Y,N,Y,Y,N,N,NA,2014,4,0,0,0,Energy,male,"oil, Self Made","Bachelor of Arts / Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin",2,100%,North America
"Jeremy Jacobs, Sr.",4.3,77,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Service,male,concessions,"Bachelor of Arts / Science, SUNY Buffalo",1,100%,North America
Nancy Walton Laurie,4.3,65,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Fashion and Retail,female,Wal-Mart,"Bachelor of Arts / Science, University of Memphis",1,100%,North America
Gwendolyn Sontheim Meyer,4.3,55,United States,N,,,,,,,2012,6,0,0,0,Food and Beverage,female,Cargill,NA,NA,100%,North America
Jeffrey Skoll,4.3,52,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Technology,male,"eBay, Self Made","Bachelor of Arts / Science, University of Toronto; Master of Business Administration, Stanford Graduate School of Business",2,100%,North America
Frederick Smith,4.3,72,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Logistics,male,"FedEx, Self Made","Bachelor of Arts / Science, Yale University",1,100%,North America
Martha Ingram,4.2,81,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Media,female,"book distribution, transportation","Bachelor of Arts / Science, Vassar College",1,100%,North America
