artist,FeaturedArtists,main_genre,featured_genre
Brenda Lee,,rock,
Elvis Presley,,rock,
Elvis Presley,,rock,
Chubby Checker,,rock,
Connie Francis,,rock,
Bobby Rydell,,rock,
Marty Robbins,,,
Connie Francis,,rock,
Brenda Lee,,rock,
Roy Orbison,,rock,
Paul Anka,,rock,
Brook Benton,Dinah Washington,soul,soul
Johnny Horton,,rock,
Sam Cooke,,soul,
Everly Brothers,The Everly Brothers,rock,rock
Bobby Darin,,rock,
Jimmy Clanton,,rnb,
Jackie Wilson,,rock,
Steve Lawrence,,,
Brenda Lee,,rock,
Bobby Rydell,,rock,
Andy Williams,,,
Brook Benton,,soul,
Paul Anka,Paul Anka et son orchestre,rock,
Connie Francis,,rock,
Everly Brothers,The Everly Brothers,rock,rock
Brenda Lee,,rock,
Fats Domino,,blues,
Connie Francis,,rock,
Bobby Rydell,,rock,
Dinah Washington,Brook Benton,soul,soul
Neil Sedaka,,rock,
Paul Anka,,rock,
Ray Charles,,blues,
Sam Cooke,,soul,
Ricky Nelson,,rock,
Johnny Burnette,,rock,
Johnny Tillotson,,rock,
Everly Brothers,The Everly Brothers,rock,rock
Bobby Rydell,,rock,
Patsy Cline,The Jordanaires,rock,
Del Shannon,,rock,
Chubby Checker,,rock,
Roy Orbison,,rock,
Shirelles,The Shirelles,rock,rock
Connie Francis,,rock,
Ray Charles,,blues,
Ricky Nelson,,rock,
Brook Benton,,soul,
Marty Robbins,,,
"Gary ""U.S."" Bonds",NA,,
Neil Sedaka,,rock,
Johnny Tillotson,,rock,
Ferlin Husky,Hank Locklin,,
Elvis Presley,,rock,
Ricky Nelson,,rock,
Capris,The Capris,rnb,rnb
Elvis Presley,,rock,
Lee Dorsey,,rnb,
"Gary ""U.S."" Bonds",NA,,
Everly Brothers,The Everly Brothers,rock,rock
Pat Boone,,rock,
Ray Charles,,blues,
Ben E. King,,soul,
Ben E. King,,soul,
Del Shannon,,rock,
Chubby Checker,,rock,
Elvis Presley,,rock,
Bert Kaempfert,,,
Tony Orlando,,,
Brook Benton,,soul,
Connie Francis,,rock,
Shirelles,The Shirelles,rock,rock
Fats Domino,,blues,
Matt Monroe,NA,,
Paul Anka,,rock,
Bobby Rydell,,rock,
Brenda Lee,,rock,
Brenda Lee,,rock,
Chubby Checker,,rock,
Elvis Presley,,rock,
Don Gibson,,rock,
Bobby Darin,,rock,
Ray Charles,Ray Charles Orchestra,blues,
Bobby Vinton,,rock,
Chubby Checker,,rock,
Shirelles,The Shirelles,rock,rock
Gene Chandler,,soul,
Neil Sedaka,,rock,
Chubby Checker,,rock,
Johnny Tillotson,,rock,
Mary Wells,,soul,
Elvis Presley,,rock,
Tommy Roe,,rock,
Sam Cooke,,soul,
Brenda Lee,,rock,
Nat King Cole,,soul,
Connie Francis,,rock,
Gary U.S. Bonds,,rnb,
Isley Brothers,The Isley Brothers,soul,soul
Shirelles,The Shirelles,rock,rock
Pat Boone,,rock,
Burl Ives,,,
Everly Brothers,The Everly Brothers,rock,rock
Sam Cooke,,soul,
Ray Charles,Diana Krall,blues,soul
Elvis Presley,,rock,
Henry Mancini,,jazz,
Ray Stevens,,,
Bobby Darin,,rock,
Gene Pitney,,rock,
Roy Orbison,,rock,
Joe Henderson,,jazz,
Chris Montez,,rock,
Mary Wells,,soul,
Brenda Lee,,rock,
Jimmy Clanton,,rnb,
Paul Anka,,rock,
Patsy Cline,,rock,
Burl Ives,,,
Gary U.S. Bonds,,rnb,
Bobby Rydell,,rock,
Kingston Trio,The Kingston Trio,rock,rock
Gene Pitney,,rock,
"Peter, Paul and Mary",,rock,
Beach Boys,The Beach Boys,rock,rock
Beach Boys,The Beach Boys,rock,rock
Skeeter Davis,,,
Bobby Vinton,,rock,
Andy Williams,,,
Lesley Gore,,rock,
"Peter, Paul and Mary",,rock,
"Peter, Paul and Mary",,rock,
Al Martino,,jazz,
Bobby Darin,,rock,
Lesley Gore,,rock,
Eydie Gorme,Eydie Gormé,,
Beach Boys,The Beach Boys,rock,rock
Tommy Roe,,rock,
Skeeter Davis,,,
Ronettes,The Ronettes,,
Roy Orbison,,rock,
Henry Mancini,,jazz,
Bobby Vinton,,rock,
Lou Christie,,rock,
Ray Charles,Billy Ray Charles,blues,
Shirelles,The Shirelles,rock,rock
Roy Orbison,,rock,
Brenda Lee,,rock,
Tony Bennett,Ricardo Arjona,jazz,pop
Sam Cooke,,soul,
Elvis Presley,,rock,
Nat King Cole,,soul,
Jackie Wilson,,rock,
Marvin Gaye,,soul,
Rufus Thomas,,soul,
Johnny Mathis,,jazz,
Johnny Cash,,,
Doris Troy,,soul,
Lesley Gore,,rock,
Rolf Harris,,,
Nat King Cole,,soul,
Sam Cooke,,soul,
Al Martino,,jazz,
Steve Lawrence,,,
Ray Charles,,blues,
Elvis Presley,,rock,
Beach Boys,The Beach Boys,rock,rock
Del Shannon,,rock,
Beatles,The Beatles,rock,rock
Beatles,The Beatles,rock,rock
Louis Armstrong,,jazz,
Roy Orbison,,rock,
Beach Boys,The Beach Boys,rock,rock
Dean Martin,,jazz,
Mary Wells,,soul,
Supremes,The Supremes,rock,rock
Barbara Streisand,NA,,
Beatles,The Beatles,rock,rock
Beatles,The Beatles,rock,rock
Manfred Mann,,rock,
Beatles,The Beatles,rock,rock
Dave Clark Five,NA,rock,
Gene Pitney,,rock,
Peter and Gordon,Peter And Gordon,rock,rock
Supremes,The Supremes,rock,rock
Dusty Springfield,,rock,
Lesley Gore,,rock,
Dionne Warwick,,rock,
Beatles,The Beatles,rock,rock
Johnny Rivers,,rock,
Danny Williams,,,
Betty Everett,,soul,
Stan Getz,João Gilberto,jazz,
Beatles,The Beatles,rock,rock
Beatles,The Beatles,rock,rock
Four Tops,,rock,
Bachelors,The Bachelors,,
Dave Clark Five,NA,rock,
New Christy Minstrels,The New Christy Minstrels,,
Dave Clark Five,NA,rock,
Temptations,The Temptations,soul,soul
Dionne Warwick,,rock,
Al Martino,,jazz,
Roy Orbison,,rock,
Dean Martin,,jazz,
Kinks,The Kinks,rock,rock
Sammy Davis Jr.,,swing,
Roger Miller,,,
Roger Miller,,,
Searchers,The Searchers,rock,rock
Beatles,The Beatles,rock,rock
Andy Williams,,,
Bobby Vinton,,rock,
Kingsmen,The Kingsmen,,
Searchers,The Searchers,rock,rock
Four Tops,,rock,
Rolling Stones,The Rolling Stones,rock,rock
Petula Clark,,rock,
Beatles,The Beatles,rock,rock
Herman's Hermits,,rock,
Elvis Presley,,rock,
Temptations,The Temptations,soul,soul
Beach Boys,The Beach Boys,rock,rock
Roger Miller,,,
Herman's Hermits,,rock,
Supremes,The Supremes,rock,rock
Herman's Hermits,,rock,
Seekers,The Seekers,rock,rock
Byrds,The Byrds,rock,rock
Sounds Orchestral,,,
Tom Jones,,,
Beatles,The Beatles,rock,rock
James Brown,,soul,
Shirley Ellis,NA,,
Petula Clark,,rock,
Supremes,The Supremes,rock,rock
Bob Dylan,,rock,
Johnny Rivers,,rock,
Herman's Hermits,,rock,
Yardbirds,The Yardbirds,rock,rock
Beach Boys,The Beach Boys,rock,rock
Moody Blues,The Moody Blues,rock,rock
Shirley Bassey,,jazz,
Dave Clark Five,NA,rock,
Beatles,The Beatles,rock,rock
Marvin Gaye,,soul,
Kinks,The Kinks,rock,rock
Kinks,The Kinks,rock,rock
Jackie DeShannon,,rock,
Tom Jones,,,
Sir Douglas Quintet,,rock,
Sam Cooke,,soul,
Herman's Hermits,,rock,
Yardbirds,The Yardbirds,rock,rock
Searchers,The Searchers,rock,rock
Peter and Gordon,Peter And Gordon,rock,rock
Brenda Lee,,rock,
Dave Clark Five,NA,rock,
Peter and Gordon,Peter And Gordon,rock,rock
Four Tops,,rock,
Rolling Stones,The Rolling Stones,rock,rock
Cher,,rock,
Del Shannon,,rock,
Marvin Gaye,,soul,
Association,The Association,rock,rock
Four Tops,,rock,
Monkees,The Monkees,rock,rock
Supremes,The Supremes,rock,rock
Johnny Rivers,,rock,
Nancy Sinatra,,rock,
Jimmy Ruffin,,soul,
Frank Sinatra,,,
Beatles,The Beatles,rock,rock
Young Rascals,The Young Rascals,rock,rock
Percy Sledge,,soul,
Petula Clark,,rock,
Lou Christie,,rock,
Troggs,The Troggs,rock,rock
Bobby Hebb,,,
Beatles,The Beatles,rock,rock
Supremes,The Supremes,rock,rock
Beach Boys,The Beach Boys,rock,rock
Dusty Springfield,,rock,
Left Banke,NA,rock,
Tommy Roe,,rock,
Tommy Roe,,rock,
Hollies,The Hollies,rock,rock
B.J. Thomas,,rock,
Temptations,The Temptations,soul,soul
Standells,The Standells,rock,rock
Ray Charles,NA,blues,
Johnny Rivers,,rock,
Peter and Gordon,Peter And Gordon,rock,rock
Stevie Wonder,,soul,
Cher,,rock,
Beach Boys,The Beach Boys,rock,rock
Rolling Stones,The Rolling Stones,rock,rock
Temptations,The Temptations,soul,soul
Brenda Lee,,rock,
David Houston,,,
Bobby Darin,,rock,
Neil Diamond,,rock,
Lee Dorsey,,rnb,
Dionne Warwick,,rock,
Lou Rawls,,soul,
Beach Boys,The Beach Boys,rock,rock
Supremes,The Supremes,rock,rock
Bob Dylan,NA,rock,
Peter and Gordon,Peter And Gordon,rock,rock
Beatles,The Beatles,rock,rock
Herman's Hermits,,rock,
Slim Harpo,,blues,
Chris Montez,,rock,
Bobby Fuller Four,The Bobby Fuller Four,,
Beatles,The Beatles,rock,rock
Yardbirds,The Yardbirds,rock,rock
Wilson Pickett,,rock,
Lulu,,rock,
Box Tops,The Box Tops,rock,rock
Bobby Gentry,Jimmy Smith,,jazz
Association,The Association,rock,rock
Monkees,The Monkees,rock,rock
Doors,The Doors,rock,rock
Nancy Sinatra,Frank Sinatra,rock,
Young Rascals,The Young Rascals,rock,rock
Frankie Valli,,rock,
Aretha Franklin,,soul,
Stevie Wonder,,soul,
Buckinghams,The Buckinghams,rock,rock
Arthur Conley,,soul,
Association,The Association,rock,rock
Strawberry Alarm Clock,,rock,
Rolling Stones,The Rolling Stones,rock,rock
Vicki Carr,NA,,
Brenton Wood,,,
Buffalo Springfield,,rock,
Supremes,The Supremes,rock,rock
Beatles,The Beatles,rock,rock
Engelbert Humperdinck,,,
Marvin Gaye and Tammi Terrell,Marvin Gaye,,soul
Jefferson Airplane,,rock,
Van Morrison,,rock,
Procol Harum,,rock,
Buckinghams,The Buckinghams,rock,rock
Hollies,The Hollies,rock,rock
Dionne Warwick,,rock,
Tremeloes,The Tremeloes,rock,rock
Scott Mckenzie,Scott McKenzie,rock,rock
Cowsills,The Cowsills,rock,rock
Herman's Hermits,,rock,
Buckinghams,The Buckinghams,rock,rock
Petula Clark,,rock,
Jackie Wilson,,rock,
Young Rascals,The Young Rascals,rock,rock
Beatles,The Beatles,rock,rock
Temptations,The Temptations,soul,soul
Seekers,The Seekers,rock,rock
Aretha Franklin,,soul,
Lesley Gore,,rock,
Young Rascals,The Young Rascals,rock,rock
Hollies,NA,rock,
Spencer Davis Group,The Spencer Davis Group,rock,rock
Wilson Pickett,,rock,
Monkees,The Monkees,rock,rock
Aretha Franklin,,soul,
Aaron Neville,,soul,
James Brown,,soul,
Ray Charles,Norah Jones,blues,jazz
Jefferson Airplane,,rock,
Four Tops,,rock,
Janis Ian,,rock,
Neil Diamond,,rock,
Marvin Gaye and Tammi Terrell,Marvin Gaye,,soul
Tremeloes,The Tremeloes,rock,rock
"Peter, Paul and Mary",,rock,
Electric Prunes,The Electric Prunes,rock,rock
Monkees,The Monkees,rock,rock
Johnny Rivers,,rock,
Tom Jones,,,
Petula Clark,,rock,
Neil Diamond,,rock,
Beatles,The Beatles,rock,rock
Otis Redding,,soul,
Jeannie C. Riley,,,
Doors,The Doors,rock,rock
Box Tops,The Box Tops,rock,rock
Temptations,The Temptations,soul,soul
Delfonics,The Delfonics,soul,soul
Vogues,The Vogues,rock,rock
Georgie Fame,,blues,
Mary Hopkin,,,
Steppenwolf,,rock,
Sergio Mendes,Sérgio Mendes,,
Johnny Nash,,,
Troggs,The Troggs,rock,rock
Dionne Warwick,,rock,
Lemon Pipers,The Lemon Pipers,rock,rock
Rolling Stones,The Rolling Stones,rock,rock
Richard Harris,,,
Jose Feliciano,José Feliciano,,
Percy Sledge,,soul,
Status Quo,,rock,
Blue Cheer,,rock,
Marvin Gaye and Tammi Terrell,Marvin Gaye,,soul
James Brown,,soul,
Bee Gees,,rock,
Beatles,The Beatles,rock,rock
Steppenwolf,,rock,
Tom Jones,,,
Cowsills,The Cowsills,rock,rock
Irish Rovers,The Irish Rovers,,
Beatles,The Beatles,rock,rock
Marvin Gaye and Tammi Terrell,Marvin Gaye,,soul
Dionne Warwick,,rock,
Manfred Mann,,rock,
Aretha Franklin,,soul,
Aretha Franklin,,soul,
Archies,The Archies,rock,rock
Temptations,The Temptations,soul,soul
Rolling Stones,The Rolling Stones,rock,rock
Tommy Roe,,rock,
Tom Jones,,,
Three Dog Night,,rock,
Cowsills,The Cowsills,rock,rock
Marvin Gaye,,soul,
Elvis Presley,,rock,
Creedence Clearwater Revival,,rock,
Isley Brothers,The Isley Brothers,soul,soul
Neil Diamond,,rock,
Oliver,,electronic/dance,
Creedence Clearwater Revival,,rock,
Beatles,The Beatles,rock,rock
Andy Kim,NA,,
Creedence Clearwater Revival,,rock,
Stevie Wonder,,soul,
Three Dog Night,,rock,
Elvis Presley,,rock,
Johnny Cash,,,
Oliver,,electronic/dance,
Jackie DeShannon,,rock,
Doors,The Doors,rock,rock
Sammy Davis Jr.,,swing,
Bob Dylan,,rock,
Mama Cass Elliot,Cass Elliot,,
Temptations,The Temptations,soul,soul
Glen Campbell,,rock,
Lou Christie,,rock,
Ray Stevens,,,
Dionne Warwick,,rock,
James Brown,,soul,
Edwin Starr,,soul,
Marvin Gaye,,soul,
Tony Joe White,,blues,
Kenny Rogers,,rock,
Joe South,,rock,
Beatles,The Beatles,rock,rock
Beatles,The Beatles,rock,rock
Marvin Gaye,,soul,
Tom Jones,,,
David Ruffin,,soul,
Box Tops,The Box Tops,rock,rock
B.J. Thomas,,rock,
Carpenters,,rock,
B.J. Thomas,Burt Bacharach,rock,
Edwin Starr,,soul,
Diana Ross,,soul,
Jackson 5,The Jackson 5,soul,soul
Rare Earth,,rock,
Beatles,The Beatles,rock,rock
Freda Payne,,,
Three Dog Night,,rock,
Ray Stevens,,,
Bread,,rock,
Jackson 5,The Jackson 5,soul,soul
Jackson 5,The Jackson 5,soul,soul
Eric Burdon,,rock,
Norman Greenbaum,,,
Temptations,The Temptations,soul,soul
Jackson 5,The Jackson 5,soul,soul
Shocking Blue,,rock,
John Lennon,,rock,
Brook Benton,,soul,
Kenny Rogers,,rock,
Chairmen Of The Board,,,
Edison Lighthouse,,,
Anne Murray,,rock,
Marmalade,,rock,
Hollies,The Hollies,rock,rock
Badfinger,,rock,
Kinks,The Kinks,rock,rock
Mungo Jerry,,blues,
R. Dean Taylor,,,
Rare Earth,,rock,
Four Tops,,rock,
Chicago,,rock,
Frijid Pink,,rock,
Chicago,,rock,
White Plains,,,
Brotherhood Of Man,Brotherhood of Man,,
Carpenters,,rock,
James Taylor,,rock,
Gene Chandler,,soul,
B.J. Thomas,,rock,
Spinners,The Spinners,soul,soul
Mountain,,,
Joe Cocker,,rock,
Christie,,,
Ides Of March,The Ides Of March,,
Supremes,The Supremes,rock,rock
Temptations,The Temptations,soul,soul
Tom Jones,,,
Dionne Warwick,,rock,
Joe South,,rock,
B.B. King,Tracy Chapman,blues,rock
Glen Campbell,,rock,
Aretha Franklin,,soul,
Three Dog Night,,rock,
Osmonds,The Osmonds,,
Bee Gees,,rock,
Donny Osmond,,,
John Denver,,rock,
Temptations,The Temptations,soul,soul
Janis Joplin,,rock,
Al Green,,soul,
Undisputed Truth,The Undisputed Truth,soul,soul
Rolling Stones,The Rolling Stones,rock,rock
James Taylor,,rock,
Jean Knight,,soul,
Lee Michaels,,rock,
Joan Baez,,rock,
Marvin Gaye,,soul,
Bill Withers,,soul,
Tom Jones,,,
Murray Head,The Trinidad Singers,,
Carpenters,,rock,
Donny Osmond,,,
Carpenters,,rock,
Gordon Lightfoot,,rock,
Carpenters,,rock,
Jackson 5,The Jackson 5,soul,soul
Lynn Anderson,,,
Ringo Starr,,rock,
Nitty Gritty Dirt Band,,rock,
Dramatics,The Dramatics,soul,soul
Carly Simon,,rock,
Stevie Wonder,,soul,
Aretha Franklin,,soul,
Helen Reddy,,rock,
Osmonds,The Osmonds,,
Stampeders,,,
Bread,,rock,
Marvin Gaye,,soul,
Freda Payne,,,
Rare Earth,,rock,
Three Dog Night,,rock,
Andy Williams,,,
Olivia Newton-John,,rock,
Matthews' Southern Comfort,,,
Judy Collins,,rock,
Dave Edmunds,,rock,
Bee Gees,,rock,
Fortunes,The Fortunes,rock,rock
Jackson 5,The Jackson 5,soul,soul
Doors,The Doors,rock,rock
Richie Havens,,rock,
Doors,The Doors,rock,rock
Perry Como,,jazz,
Roberta Flack,,rock,
Gilbert O'Sullivan,,rock,
Don McLean,,rock,
Sammy Davis Jr.,,swing,
Bill Withers,,soul,
Mac Davis,,,
Wayne Newton,,jazz,
Al Green,,soul,
Chuck Berry,,rock,
Neil Young,,rock,
Staple Singers,The Staple Singers,soul,soul
Michael Jackson,,pop,
Hollies,The Hollies,rock,rock
Neil Diamond,,rock,
America,,rock,
Moody Blues,The Moody Blues,rock,rock
Osmonds,The Osmonds,,
Jonathan Edwards,,rock,
Elton John,,rock,
Michael Jackson,,pop,
Arlo Guthrie,,rock,
Johnny Nash,,,
Elvis Presley,,rock,
Betty Wright,,soul,
Argent,,rock,
Bread,,rock,
Dramatics,The Dramatics,soul,soul
Al Green,,soul,
T. Rex,,rock,
Paul Simon,,rock,
Roberta Flack,Donny Hathaway,rock,soul
Al Green,,soul,
Aretha Franklin,,soul,
Cher,,rock,
Three Dog Night,,rock,
Carpenters,,rock,
Donny Osmond,,,
Jim Croce,,rock,
Commander Cody and His Lost Planet Airmen,,rock,
Carly Simon,,rock,
Three Dog Night,,rock,
Alice Cooper,,rock,
Chicago,,rock,
Bill Withers,,soul,
Redbone,,,
Curtis Mayfield,,soul,
Harry Chapin,,rock,
Bobby Vinton,,rock,
Todd Rundgren,,rock,
Sailcat,,,
Yes,,rock,
Jackson Browne,,rock,
Rick Springfield,,rock,
Jim Croce,,rock,
Roberta Flack,,rock,
Marvin Gaye,,soul,
Paul McCartney,Wings,rock,rock
Kris Kristofferson,,rock,
Elton John,,rock,
Billy Preston,,soul,
Carly Simon,,rock,
Diana Ross,,soul,
Helen Reddy,,rock,
Billy Paul,,soul,
Dobie Gray,,,
Stevie Wonder,,soul,
Cher,,rock,
Grand Funk Railroad,,rock,
Dr. John,,rock,
Stevie Wonder,,soul,
Paul Simon,,rock,
Maureen McGovern,,,
John Denver,Mike Taylor,rock,
Stealers Wheel,,,
Three Dog Night,,rock,
Barry White,,soul,
Eddie Kendricks,,soul,
Anne Murray,,rock,
Seals and Crofts,,rock,
George Harrison,,rock,
Jermaine Jackson,,disco,
Spinners,The Spinners,soul,soul
Elton John,,rock,
Deep Purple,,rock,
Chicago,,rock,
Wings,Paul McCartney,rock,rock
Johnnie Taylor,,soul,
Carpenters,,rock,
Four Tops,,rock,
Stevie Wonder,,soul,
Al Green,,soul,
Curtis Mayfield,,soul,
Gilbert O'Sullivan,,rock,
Steely Dan,,rock,
Carpenters,,rock,
Gilbert O'Sullivan,,rock,
Steely Dan,,rock,
Paul Simon,,rock,
Timmy Thomas,,,
Tower Of Power,,soul,
Johnny Rivers,,rock,
Allman Brothers,The Allman Brothers Band,rock,rock
Temptations,The Temptations,soul,soul
Helen Reddy,,rock,
Ohio Players,,soul,
Rolling Stones,The Rolling Stones,rock,rock
Johnny Nash,,,
Pink Floyd,,rock,
Pointer Sisters,The Pointer Sisters,rock,rock
Edgar Winter Group,The Edgar Winter Group,rock,rock
David Bowie,,rock,
Albert Hammond,,,
Donny Osmond,,,
Temptations,The Temptations,soul,soul
Barbra Streisand,,rock,
Terry Jacks,,,
Redbone,,,
Jackson 5,The Jackson 5,soul,soul
Grand Funk Railroad,,rock,
Ray Stevens,,,
Elton John,,rock,
Mac Davis,,,
Aretha Franklin,,soul,
Maria Muldaur,,,
Al Wilson,,,
David Essex,,rock,
John Denver,,rock,
Blue Magic,,soul,
Blue Swede,Björn Skifs,,
Paul McCartney,Wings,rock,rock
Jim Croce,,rock,
John Denver,,rock,
Paul Anka,Odia Coates,rock,
Olivia Newton-John,Delta Goodrem,rock,
Gordon Lightfoot,,rock,
Andy Kim,,,
Eddie Kendricks,,soul,
Ringo Starr,,rock,
Olivia Newton-John,,rock,
Cher,,rock,
Roberta Flack,,rock,
Billy Preston,,soul,
George McCrae,,disco,
Carpenters,,rock,
Steve Miller Band,,rock,
Three Dog Night,,rock,
Hues Corporation,,disco,
Stevie Wonder,,soul,
Dionne Warwick,The Spinners,rock,soul
Paper Lace,,,
ABBA,,,
Hollies,The Hollies,rock,rock
Steely Dan,,rock,
Carly Simon,James Taylor,rock,rock
Joni Mitchell,,rock,
Anne Murray,,rock,
Barry White,NA,soul,
Helen Reddy,,rock,
Johnny Bristol,,disco,
Mocedades,,,
Bachman-Turner Overdrive,,rock,
Golden Earring,,rock,
Bobby Womack,,soul,
Chicago,,rock,
Elton John,,rock,
Ringo Starr,,rock,
Eric Clapton,,rock,
Paul McCartney,Wings,rock,rock
Elton John,George Michael,rock,rock
Anne Murray,,rock,
Todd Rundgren,,rock,
Jim Croce,,rock,
Lamont Dozier,,,
Stevie Wonder,,soul,
Paul McCartney,Wings,rock,rock
First Class,,,
Olivia Newton-John,,rock,
Chicago,,rock,
Spinners,NA,soul,
Glen Campbell,,rock,
Elton John,,rock,
Frankie Valli,,rock,
David Bowie,,rock,
Neil Sedaka,Dara Sedaka,rock,
John Denver,,rock,
Bee Gees,,rock,
Minnie Riperton,,soul,
Carl Douglas,,disco,
Doobie Brothers,The Doobie Brothers,rock,rock
